"zone","state","lga","sector","ea","cluster_id","farmer_id","activity_cd","crop_code","c9q5","c9q6","c9q7","c9q8","c9q9","c9q10"
4,1,111,1,1146,"111-1146",2,2,,1,1500,2,,1,500
4,1,111,1,1146,"111-1146",2,4,,2,,1,700,2,
4,1,111,1,1146,"111-1146",2,5,1020,1,1500,1,700,1,500
4,1,111,2,118,"111-118",1,1,,1,1200,2,,1,700
4,1,111,2,118,"111-118",1,2,,1,1200,2,,1,700
4,1,111,2,118,"111-118",1,4,,2,,1,800,1,700
4,1,111,2,118,"111-118",1,5,1121,1,1000,1,800,2,
4,1,111,2,118,"111-118",1,6,1121,1,1000,1,800,1,600
4,1,111,2,118,"111-118",2,1,,1,1200,2,,1,700
4,1,111,2,118,"111-118",2,2,,1,1200,2,,2,
4,1,111,2,118,"111-118",2,3,,1,1200,1,800,1,600
4,1,111,2,118,"111-118",2,4,,2,,1,800,1,600
4,1,111,2,118,"111-118",2,5,1020,1,1000,1,800,1,600
4,1,111,2,118,"111-118",2,6,1020,1,1000,1,800,1,600
4,11,1112,2,78,"1112-78",1,1,,1,1000,1,1000,2,
4,11,1112,2,78,"1112-78",1,2,,1,2000,2,,2,
4,11,1112,2,78,"1112-78",1,3,,1,500,2,,2,
4,11,1112,2,78,"1112-78",1,4,,2,,1,1000,2,
4,11,1112,2,78,"1112-78",1,5,1121,1,1500,2,,2,
4,11,1112,2,78,"1112-78",1,6,1121,1,1000,1,1000,2,
4,11,1112,2,78,"1112-78",2,1,,1,1000,2,,2,
4,11,1112,2,78,"1112-78",2,2,,1,1500,2,,2,
4,11,1112,2,78,"1112-78",2,3,,1,500,2,,2,
4,11,1112,2,78,"1112-78",2,4,,2,,1,1000,2,
