"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq2b_os","s4cq18_1","s4cq18_2","s4cq18_3","s4cq4","s4cq4_os","s4cq19","s4cq20","s4cq21a","s4cq21b","s4cq22","s4cq23_1","s4cq23_2","s4cq23_3","s4cq23_os","s4cq24","s4cq25a","s4cq25b","s4cq26","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq27a","s4cq27b","s4cq10","s4cq10b","s4cq11"
2,5,509,2,1064,59101,1,7,,1,,,12,,10000,1,0,,2,,,,,1,0,,10000,1,7,2018,2,,,12,2018,10000
2,5,509,2,1064,59102,1,8,,1,,,12,,20000,1,0,,2,,,,,1,0,,20000,1,2,2018,1,4,2018,,,20000
2,5,509,2,1064,59103,1,7,,1,,,7,,40000,1,0,,2,,,,,1,0,,20000,1,2,2018,1,3,2018,,,40000
2,5,509,2,1064,59105,1,7,,1,,,11,,10000,1,0,,2,,,,,1,0,,10000,1,3,2018,2,,,11,2018,10000
2,5,508,2,2196,59118,1,7,,1,,,5,,6000,1,0,,2,,,,,1,0,,6000,1,2,2018,1,5,2018,,,6000
2,5,511,2,796,59129,1,7,,1,,,2,,5000,1,0,,2,,,,,1,0,,5000,1,5,2018,2,,,9,2018,5000
2,5,514,2,1964,59136,1,4,,1,,,1,,120000,1,1,3,2,,,,,1,0,,120000,1,2,2018,2,,,2,2020,150000
2,5,516,2,134,59154,1,6,,1,,,2,,10000,1,0,,2,,,,,1,0,,10000,1,8,2017,1,12,2017,,,10000
2,5,517,2,1424,59159,1,6,,1,,,2,,27000,1,0,,2,,,,,1,0,,27000,1,9,2017,1,7,2018,,,27000
2,5,511,2,796,59212,1,4,,1,,,11,,5000,1,0,,2,,,,,1,0,,5000,1,6,2018,1,7,2018,,,5000
5,6,602,2,1356,60002,1,7,,1,,,7,,10000,1,0,,2,,,,,1,0,,10000,1,2,2018,1,4,2018,,,15000
5,6,602,2,0,60004,1,7,,1,,,13,"DONATION TO CHURCH",12000,1,0,,2,,,,,1,0,,12000,1,1,2018,2,,,12,2019,12000
5,6,602,2,0,60006,1,7,,6,,,5,,20000,1,1,1,2,,,,,1,1,1,20000,2,3,2018,2,,,8,2018,40000
5,6,602,2,1356,60009,1,6,,1,,,12,,40000,1,0,,2,,,,,1,0,,40000,1,3,2018,2,,,9,2018,60000
5,6,607,2,1892,60034,1,4,,1,,,6,,1000000,1,3,2,2,,,,,1,1,3,1000000,1,2,2018,1,7,2018,,,1120000
5,6,601,2,640,60044,1,6,,2,,,11,,5000,1,0,,2,,,,,1,0,,5000,1,7,2018,1,8,2018,,,5000
5,6,605,2,162,60055,1,1,,2,,,5,,50000,1,3,2,2,,,,,1,3,2,50000,2,6,2018,2,,,10,2018,79000
5,6,605,2,0,60057,1,2,,2,,,8,,145000,1,0,,2,,,,,1,0,,145000,1,6,2018,2,,,10,2018,188500
5,6,604,1,858,69014,1,6,,1,,,5,,1000000,1,2,1,2,,,,,1,0,,1000000,1,3,2018,2,,,10,2018,1000000
5,6,606,2,790,69027,1,6,,1,,,12,,10000,1,0,,2,,,,,1,0,,10000,1,4,2018,2,,,12,2018,10000
5,6,606,2,790,69028,1,6,,1,,,13,"USED IT TO SOLVE A NEIGHBOUR,S PROBLEM",20000,1,0,,2,,,,,1,0,,20000,1,2,2018,1,6,2018,,,20000
5,6,606,2,790,69030,1,7,,1,,,8,,50000,1,3,2,2,,,,,1,3,2,50000,2,3,2018,2,,,8,2018,75000
5,6,606,2,790,69031,1,6,,1,,,3,,50000,1,2,1,2,,,,,1,0,,50000,2,2,2018,1,4,2018,,,75000
5,6,608,2,1288,69037,1,6,,1,,,6,,5000,1,0,,2,,,,,1,0,,5000,1,7,2018,2,,,8,2018,6500
5,6,608,2,1288,69038,1,7,,2,,,2,,5000,1,2,1,2,,,,,1,0,,5000,2,6,2018,2,,,8,2018,6500
5,6,608,2,1288,69040,1,6,,1,,,7,,15000,1,0,,2,,,,,1,0,,15000,1,3,2018,1,3,2018,,,15000
5,6,608,2,1288,69041,1,4,,1,,,5,,50000,4,6,3,1,6,,,,,,,,,,,,,,,,
5,6,608,2,1288,69046,1,6,,1,,,8,,50000,1,2,1,2,,,,,1,3,2,50000,1,3,2018,2,,,12,2018,95000
5,6,601,2,16,69049,1,6,,1,,,13,"TO REPAIR IS ENGINE BOAT",150000,1,0,,2,,,,,1,0,,150000,1,7,2018,2,,,2,2019,150000
