"zone","state","lga","sector","ea","hhid","s12q8a","s12q8b","s12q8c","s12q8d","s12q8e","s12q8f","s12q8g","s12q8h","s12q8i","s12q8j","s12q2a","s12q2b1","s12q2b","s12q5","s12q6__1","s12q6__2","s12q6__3","s12q6__4","s12q6__5","s12q6__6","s12q6__7","s12q6__8","s12q6__9","s12q6__10","s12q6__11","s12q6__12","s12q6__13","s12q6__14","s12q6__15","s12q7_1","s12q7_2","s12q7_3","s12q7_os","Sec12_resp"
4,1,107,2,10,19068,1,1,1,1,1,1,1,2,1,2,3,,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,107,2,10,19069,2,2,2,2,2,2,2,2,2,2,2,2,,2,,,,,,,,,,,,,,,,,,,,2
4,1,107,2,10,19070,1,1,1,1,1,1,1,2,1,2,2,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,107,2,10,19071,2,2,2,2,2,2,2,2,2,2,2,2,,2,,,,,,,,,,,,,,,,,,,,2
4,1,107,2,10,19072,1,1,2,1,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,107,2,1322,19073,1,1,1,1,1,1,1,1,1,1,2,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,,,,2
4,1,107,2,1322,19075,1,1,1,1,1,2,2,2,1,2,2,,4,2,,,,,,,,,,,,,,,,,,,,4
4,1,107,2,1322,19076,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12,3,,,2
4,1,107,2,1322,19077,1,1,1,1,1,2,2,2,2,2,2,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,12,,,1
4,1,107,2,1322,19079,1,1,1,1,1,1,1,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,107,2,1322,19080,2,1,1,2,2,2,2,2,1,2,2,,2,2,,,,,,,,,,,,,,,,,,,,1
4,1,107,2,1322,19081,1,1,1,1,1,1,1,2,1,2,3,,,2,,,,,,,,,,,,,,,,,,,,3
4,1,107,2,1322,19082,1,1,1,1,1,1,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,107,2,1322,19084,1,1,1,1,1,1,1,1,1,2,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,,,,2
4,1,109,2,1214,19085,1,2,1,2,1,1,2,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1214,19087,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1214,19088,1,2,2,2,2,2,2,2,2,2,2,2,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1214,19089,1,1,1,2,2,2,1,1,2,2,2,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1214,19091,1,1,1,1,1,1,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1214,19092,1,1,1,1,1,2,1,2,1,2,2,3,4,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1214,19093,1,1,1,1,2,2,2,2,2,2,3,,3,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1214,19094,1,1,1,1,1,1,2,2,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1214,19095,1,1,1,1,1,1,2,2,2,2,2,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1214,19096,2,1,2,2,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1792,19097,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1792,19098,2,1,1,1,2,1,1,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1792,19099,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1792,19100,1,1,1,1,1,2,1,2,1,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1792,19101,2,1,1,1,2,2,2,2,1,2,3,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,,,,2
4,1,109,2,1792,19103,1,1,1,1,1,2,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,3
4,1,109,2,1792,19104,1,1,1,1,1,1,1,2,1,1,2,3,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,12,,,1
4,1,109,2,1792,19105,1,1,1,1,1,1,1,2,1,2,3,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,109,2,1792,19106,2,2,2,2,2,2,2,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,7
4,1,109,2,1792,19107,1,1,1,1,1,1,2,2,1,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1996,19110,2,2,2,2,2,2,2,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1996,19111,2,2,2,2,2,2,2,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1996,19112,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1996,19113,2,2,2,2,2,2,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1996,19115,2,1,1,2,1,2,2,2,1,2,3,,4,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1996,19116,1,1,1,1,1,1,2,2,2,2,2,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,12,,,2
4,1,109,2,1996,19117,2,1,1,1,1,1,2,2,1,2,3,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1996,19118,1,1,1,1,1,1,2,2,1,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,109,2,1996,19119,1,2,1,2,2,2,2,2,1,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,2
4,1,109,2,1996,19120,1,1,1,2,2,1,1,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,110,2,338,19121,1,1,1,2,1,1,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,3
4,1,110,2,338,19122,1,1,1,1,1,1,1,2,1,2,3,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,2
4,1,110,2,338,19123,2,2,2,2,2,2,2,2,2,2,3,,5,2,,,,,,,,,,,,,,,,,,,,2
4,1,110,2,338,19124,2,2,2,2,1,1,2,2,2,2,3,4,,2,,,,,,,,,,,,,,,,,,,,2
4,1,110,2,338,19125,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,110,2,338,19126,1,1,1,1,1,1,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,110,2,338,19127,1,1,1,1,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,4
4,1,110,2,338,19129,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,110,2,338,19130,1,1,1,2,1,2,1,2,2,1,2,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,110,2,338,19131,2,2,1,1,1,1,1,2,2,2,3,3,4,2,,,,,,,,,,,,,,,,,,,,1
4,1,111,2,118,19133,1,1,1,1,1,1,1,1,1,2,2,2,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,2
4,1,111,2,118,19135,1,1,1,1,1,1,1,1,1,2,2,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,111,2,118,19136,1,1,1,1,1,1,1,2,2,2,2,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,,,,2
4,1,111,2,118,19137,1,1,1,1,1,1,1,2,1,2,3,4,4,2,,,,,,,,,,,,,,,,,,,,1
4,1,111,2,118,19138,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,111,2,118,19139,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,111,2,118,19140,1,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,111,2,118,19141,1,1,1,1,1,1,1,2,1,2,3,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,111,2,118,19143,1,1,1,1,1,1,1,1,1,1,3,2,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,,,,1
4,1,111,2,118,19144,1,1,1,1,1,1,1,1,1,2,3,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,,,,1
4,1,112,2,266,19145,1,1,1,1,1,2,2,1,1,1,2,,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,12,,,,2
4,1,112,2,266,19146,1,1,2,1,2,2,1,2,2,2,3,,2,2,,,,,,,,,,,,,,,,,,,,2
4,1,112,2,266,19147,2,2,2,1,1,1,2,2,2,2,2,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,,,,2
4,1,112,2,266,19148,1,1,1,1,1,1,1,2,2,2,2,,,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12,5,,,1
4,1,112,2,266,19149,1,1,1,1,1,1,1,2,2,2,2,,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,,,,2
4,1,112,2,266,19150,1,1,1,1,1,1,1,2,1,2,2,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,112,2,266,19151,1,1,1,1,1,1,1,2,1,2,3,3,4,2,,,,,,,,,,,,,,,,,,,,2
4,1,112,2,266,19152,1,1,1,2,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,112,2,266,19153,1,1,1,1,1,1,1,2,1,2,3,3,3,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,5,12,,,1
4,1,112,2,556,19158,1,1,1,1,2,2,1,2,1,2,2,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,112,2,556,19159,1,1,1,1,1,2,2,2,1,2,2,3,,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,12,,,,2
4,1,112,2,556,19160,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,2
4,1,112,2,556,19161,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,112,2,556,19163,1,1,1,1,1,1,1,2,1,2,2,,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,12,,,,1
