"zone","state","lga","sector","ea","hhid","inputid","s11c3q2","s11c3q3_1","s11c3q3_2","s11c3q3_3","s11c3q4a","s11c3q4b","s11c3q4_conv","s11c3q5","s11c3q6","s11c3q6b","s11c3q6b_os","s11c3q7","s11c3q8a","s11c3q8b","s11c2q29","s11c3q10"
2,2,207,2,1302,20098,5,1,1,,,2,3,1,4000,2,1,,9,,,,
2,2,207,2,1302,20098,6,1,1,,,2,3,1,2400,2,1,,9,,,,
2,2,207,2,1302,20098,7,,,,,,,,,,,,,,,1,80000
2,2,207,2,1302,20098,8,,,,,,,,,,,,,,,2,
2,2,207,2,1302,20099,6,1,1,,,3,3,1,4900,3,6,,10,,,,
2,2,207,2,1302,20100,2,1,1,,,1,10,10,2500,0,1,,0,,,,
2,2,207,2,1302,20100,6,1,1,,,1,3,1,1200,1,1,,0,,,,
2,2,205,2,712,20101,6,1,1,,,10,3,1,28800,10,6,,2,,2,,
2,2,205,2,712,20102,2,1,1,,,7,12,50,60000,6,6,,8,,12,,
2,2,205,2,712,20102,5,2,,,,,,,,,,,,,,,
2,2,205,2,712,20102,6,1,1,,,12,3,1,18000,9,6,,40,,2,,
2,2,205,2,712,20103,3,1,1,,,2,12,50,20000,2,6,,30,,12,,
2,2,205,2,712,20103,5,1,1,,,10,3,1,15000,10,6,,0,,2,,
2,2,205,2,712,20103,6,1,1,,,2,3,1,3000,2,6,,30,,12,,
2,2,205,2,712,20104,5,1,1,,,1,3,1,2000,1,6,,0,,2,,
2,2,205,2,712,20104,6,1,1,,,10,3,1,12000,10,6,,0,,2,,
2,2,205,2,712,20106,6,1,1,,,17,3,1,25500,15,6,,40,,2,,
2,2,205,2,712,20106,7,,,,,,,,,,,,,,,2,
2,2,205,2,712,20106,8,,,,,,,,,,,,,,,1,20000
2,2,205,2,712,20108,5,2,,,,,,,,,,,,,4,,
2,2,205,2,712,20108,6,2,,,,,,,,,,,,,4,,
2,2,205,2,712,20110,6,1,1,,,3,3,1,4500,2,1,,3,,,,
2,2,204,2,144,29001,2,1,1,,,2,12,50,7000,2,6,,0,,,,
2,2,204,2,144,29001,3,1,1,,,3,12,50,19500,3,6,,0,,,,
2,2,204,2,144,29001,6,1,1,,,6,3,1,7200,6,6,,0,,,,
2,2,204,2,144,29002,1,1,1,,,10,12,50,70000,10,6,,0,0,,,
2,2,204,2,144,29002,2,1,1,,,5,12,50,35000,5,6,,0,,,,
2,2,204,2,144,29002,5,1,1,,,5,3,1,6500,5,6,,0,,,,
2,2,204,2,144,29002,6,1,1,,,10,3,1,15000,10,6,,0,,,,
2,2,204,2,144,29002,7,,,,,,,,,,,,,,,1,30000
2,2,204,2,144,29002,8,,,,,,,,,,,,,,,2,
2,2,204,2,144,29003,1,2,,,,,,,,,,,,0,,,
2,2,204,2,144,29004,6,1,1,,,11,3,1,14300,11,6,,0,,,,
2,2,204,2,144,29005,6,1,1,,,2,3,1,2000,2,6,,0,,,,
2,2,204,2,144,29005,7,,,,,,,,,,,,,,,2,
2,2,204,2,144,29005,8,,,,,,,,,,,,,,,2,
2,2,204,2,144,29006,5,1,1,,,1,3,1,1200,1,6,,0,,,,
2,2,204,2,144,29006,6,1,1,,,2,3,1,2000,2,6,,0,,,,
2,2,204,2,144,29006,7,,,,,,,,,,,,,,,1,8000
2,2,204,2,144,29006,8,,,,,,,,,,,,,,,2,
2,2,204,2,144,29007,5,1,1,,,1,3,1,1600,1,6,,0,,,,
2,2,204,2,144,29007,6,1,1,,,2,3,1,2400,2,6,,0,,,,
2,2,204,2,144,29007,7,,,,,,,,,,,,,,,1,15000
2,2,204,2,144,29007,8,,,,,,,,,,,,,,,2,
2,2,204,2,144,29008,2,1,1,,,2,12,50,14800,2,6,,0,,,,
2,2,204,2,144,29008,3,1,1,,,2,12,50,14000,2,6,,0,,,,
2,2,204,2,144,29008,6,1,1,,,15,3,1,22500,15,6,,0,,,,
2,2,204,2,144,29010,7,,,,,,,,,,,,,,,2,
2,2,204,2,144,29010,8,,,,,,,,,,,,,,,2,
2,2,205,2,206,29013,6,1,1,,,3,3,1,3900,3,6,,0,,,,
2,2,205,2,206,29014,6,1,1,,,3,3,1,7500,3,6,,0,,,,
2,2,205,2,206,29018,6,1,2,,,2,3,1,3000,2,6,,19,,,,
2,2,205,2,206,29018,7,,,,,,,,,,,,,,,1,5000
2,2,205,2,206,29018,8,,,,,,,,,,,,,,,2,
