"zone","state","lga","sector","ea","cluster_id","tenure_cd","c4q1","c4q2","c4q3"
5,12,1203,1,334,"1203-334",6,1,1,1
5,12,1203,1,334,"1203-334",7,1,1,1
5,12,1207,1,144,"1207-144",1,1,3,1
5,12,1207,1,144,"1207-144",2,1,1,1
5,12,1207,1,144,"1207-144",3,1,1,1
5,12,1207,1,144,"1207-144",4,1,1,1
5,12,1207,1,144,"1207-144",5,1,3,1
5,12,1207,1,144,"1207-144",6,1,3,1
5,12,1207,1,144,"1207-144",7,1,1,1
5,12,1208,2,526,"1208-526",1,1,3,1
5,12,1208,2,526,"1208-526",2,1,1,1
5,12,1208,2,526,"1208-526",3,1,1,1
5,12,1208,2,526,"1208-526",4,1,3,2
5,12,1208,2,526,"1208-526",5,1,3,2
5,12,1208,2,526,"1208-526",6,0,,
5,12,1208,2,526,"1208-526",7,0,,
5,12,1208,2,630,"1208-630",1,1,3,1
5,12,1208,2,630,"1208-630",2,1,1,1
5,12,1208,2,630,"1208-630",3,1,3,1
5,12,1208,2,630,"1208-630",4,1,3,1
5,12,1208,2,630,"1208-630",5,1,3,2
5,12,1208,2,630,"1208-630",6,0,,
5,12,1208,2,630,"1208-630",7,1,1,1
5,12,1208,2,76,"1208-76",1,1,3,1
5,12,1208,2,76,"1208-76",2,1,2,1
5,12,1208,2,76,"1208-76",3,1,1,1
5,12,1208,2,76,"1208-76",4,1,2,1
5,12,1208,2,76,"1208-76",5,1,2,1
5,12,1208,2,76,"1208-76",6,0,,
5,12,1208,2,76,"1208-76",7,1,1,2
5,12,1209,1,226,"1209-226",1,1,1,1
5,12,1209,1,226,"1209-226",2,1,3,1
5,12,1209,1,226,"1209-226",3,1,2,1
5,12,1209,1,226,"1209-226",4,1,3,1
5,12,1209,1,226,"1209-226",5,1,3,1
5,12,1209,1,226,"1209-226",6,1,1,1
5,12,1209,1,226,"1209-226",7,1,1,1
5,12,1209,1,566,"1209-566",1,1,1,1
5,12,1209,1,566,"1209-566",2,0,,
5,12,1209,1,566,"1209-566",3,0,,
