"zone","state","lga","sector","ea","cluster_id","resource_cd","c4q1","c4q1_os","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4_os","c4q5a","c4q5b","c4q5c","c4q5_os"
4,11,1102,2,936,"1102-936",402,1,,1,1,1,,,,1,,,
4,11,1102,2,936,"1102-936",403,2,,,,,,,,,,,
4,11,1102,2,936,"1102-936",405,2,,,,,,,,,,,
4,11,1102,2,936,"1102-936",406,2,,,,,,,,,,,
4,11,1102,2,936,"1102-936",407,1,,1,1,4,,,,8,,,
4,11,1102,2,936,"1102-936",408,1,,1,1,4,,,,8,,,
4,11,1104,2,1610,"1104-1610",401,1,,1,1,1,,,,1,,,
4,11,1104,2,1610,"1104-1610",402,1,,1,1,1,,,,1,,,
4,11,1104,2,1610,"1104-1610",403,2,,,,,,,,,,,
4,11,1104,2,1610,"1104-1610",405,2,,,,,,,,,,,
4,11,1104,2,1610,"1104-1610",406,2,,,,,,,,,,,
4,11,1104,2,1610,"1104-1610",407,1,,1,1,4,,,,8,,,
4,11,1104,2,1610,"1104-1610",408,2,,,,,,,,,,,
4,11,1104,1,2028,"1104-2028",401,2,,,,,,,,,,,
4,11,1104,1,2028,"1104-2028",402,2,,,,,,,,,,,
4,11,1104,1,2028,"1104-2028",403,2,,,,,,,,,,,
4,11,1104,1,2028,"1104-2028",405,2,,,,,,,,,,,
4,11,1104,1,2028,"1104-2028",406,2,,,,,,,,,,,
4,11,1104,1,2028,"1104-2028",407,2,,,,,,,,,,,
4,11,1104,1,2028,"1104-2028",408,2,,,,,,,,,,,
4,11,1104,2,434,"1104-434",401,2,,,,,,,,,,,
4,11,1104,2,434,"1104-434",402,2,,,,,,,,,,,
4,11,1104,2,434,"1104-434",403,2,,,,,,,,,,,
4,11,1104,2,434,"1104-434",405,2,,,,,,,,,,,
4,11,1104,2,434,"1104-434",406,2,,,,,,,,,,,
4,11,1104,2,434,"1104-434",407,2,,,,,,,,,,,
4,11,1104,2,434,"1104-434",408,2,,,,,,,,,,,
4,11,1104,2,914,"1104-914",401,2,,,,,,,,,,,
4,11,1104,2,914,"1104-914",402,1,,1,1,1,,,,1,,,
4,11,1104,2,914,"1104-914",403,2,,,,,,,,,,,
4,11,1104,2,914,"1104-914",405,2,,,,,,,,,,,
4,11,1104,2,914,"1104-914",406,2,,,,,,,,,,,
4,11,1104,2,914,"1104-914",407,1,,1,1,1,,,,1,,,
4,11,1104,2,914,"1104-914",408,1,,1,1,1,,,,1,,,
4,11,1105,2,1092,"1105-1092",401,1,,1,1,1,,,,1,,,
4,11,1105,2,1092,"1105-1092",402,1,,1,1,1,,,,1,,,
4,11,1105,2,1092,"1105-1092",403,2,,,,,,,,,,,
4,11,1105,2,1092,"1105-1092",405,2,,,,,,,,,,,
4,11,1105,2,1092,"1105-1092",406,2,,,,,,,,,,,
4,11,1105,2,1092,"1105-1092",407,2,,,,,,,,,,,
4,11,1105,2,1092,"1105-1092",408,2,,,,,,,,,,,
