"zone","state","lga","sector","ea","hhid","ent_id","indiv","s9q13b__0","s9q13b__1","s9q13b__2","s9q13b__3","s9q13b__4","s9q13b__5","s9q13b__6","s9q13b__7","s9q13b__8","s9q13b__9","s9q13b__10","s9q13b__11","s9q13b__12","s9q13b__13","s9q13b__14","s9q13b__15","s9q13b__16","s9q13c","s9q13d"
4,1,109,2,1792,19106,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15,6
4,1,109,2,1792,19106,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18,5
4,1,109,2,1792,19107,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,109,2,1996,19110,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18,7
4,1,109,2,1996,19110,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,5
4,1,109,2,1996,19111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21,7
4,1,109,2,1996,19112,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10,3
4,1,109,2,1996,19112,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,109,2,1996,19117,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,109,2,1996,19118,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,110,2,338,19121,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,110,2,338,19129,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,9
4,1,111,2,118,19133,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,6
4,1,111,2,118,19137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,5
4,1,111,2,118,19140,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,112,2,266,19145,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,112,2,266,19145,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,,26,7
4,1,112,2,266,19145,3,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,,26,8
4,1,112,2,266,19145,3,6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,,26,8
4,1,112,2,266,19146,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,112,2,266,19147,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6,6
4,1,112,2,266,19147,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,112,2,266,19149,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,9
4,1,112,2,266,19150,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,8
4,1,112,2,266,19150,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,8
4,1,112,2,266,19151,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,112,2,266,19152,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,8
4,1,112,2,266,19153,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,112,2,266,19153,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18,8
4,1,112,2,556,19158,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,10
4,1,112,2,556,19163,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,,,10,6
4,1,112,2,556,19167,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,7
4,1,112,2,556,19168,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,8
4,1,112,2,556,19168,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,9
4,1,113,2,6,19170,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,113,2,6,19173,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18,12
4,1,113,2,6,19174,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,6
4,1,113,2,6,19179,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,15,8
4,1,113,2,44,19181,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,24,6
4,1,113,2,44,19182,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,,12,7
4,1,113,2,44,19185,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,21,6
4,1,113,2,44,19185,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,21,6
4,1,113,2,284,19193,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,15,7
4,1,113,2,284,19194,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,9
4,1,113,2,284,19194,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15,7
4,1,113,2,284,19194,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,12
4,1,113,2,284,19194,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15,8
4,1,113,2,284,19196,1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,,,21,9
4,1,115,1,176,19205,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,11
4,1,115,1,176,19206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,11
4,1,115,1,176,19208,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,22,8
4,1,115,1,176,19209,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,115,1,176,19209,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,115,1,176,19211,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,115,1,176,19214,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,6
4,1,115,1,550,19218,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,115,1,550,19218,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,22,8
4,1,115,1,550,19222,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,115,1,550,19225,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,10
4,1,115,1,550,19227,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,7
4,1,117,2,800,19230,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18,10
4,1,117,2,800,19230,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,8
