"zone","state","lga","sector","ea","hhid","plotid","s11c1q2a","s11c1q2","s11c1q3","s11c1q3a","s11c1q4","s11c1q4a_1","s11c1q4a_2","s11c1q4a_3","s11c1q4a_4","s11c1q4a_5","s11c1q5a","s11c1q5","s11c1q6","s11c1q6a","s11c1q7","s11c1q7a_1","s11c1q7a_2","s11c1q7a_3","s11c1q7a_4","s11c1q7a_5","s11c1q8a","s11c1q8","s11c1q9","s11c1q9a","s11c1q10","s11c1q10a_1","s11c1q10a_2","s11c1q10a_3","s11c1q10a_4","s11c1q10a_5","s11c1q13a","s11c1q14a","s11c1q15a","s11c1q16a","s11c1q17a_1","s11c1q17a_2","s11c1q17a_3","s11c1q17a_4","s11c1q17a_5","s11c1q13b","s11c1q14b","s11c1q15b","s11c1q16b","s11c1q17b_1","s11c1q17b_2","s11c1q17b_3","s11c1q17b_4","s11c1q17b_5","s11c1q13c","s11c1q14c","s11c1q15c","s11c1q16c","s11c1q17c_1","s11c1q17c_2","s11c1q17c_3","s11c1q17c_4","s11c1q17c_5"
4,1,104,2,412,19043,3,1,3,2,5,1500,0,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19043,4,1,3,2,6,1500,0,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19044,1,1,1,3,5,2000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,1,1,3,5,0,0,1,0,0,2,,,,,,,,
4,1,104,2,412,19044,2,1,1,2,6,2000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19045,2,1,2,4,6,2000,1,0,0,0,0,1,3,8,6,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19048,1,1,3,7,8,2500,1,0,0,1,0,1,5,9,8,1800,0,1,1,0,0,1,6,5,6,2000,0,0,0,1,0,1,2,4,5,0,1,0,0,0,1,2,3,6,0,1,1,0,0,1,2,4,4,0,0,0,1,0
4,1,104,2,412,19048,2,1,3,4,5,2000,1,0,0,1,0,1,3,4,6,1500,0,0,1,0,0,2,,,,,,,,,,1,1,3,5,0,1,0,0,0,1,2,3,5,0,1,1,0,0,2,,,,,,,,
4,1,104,2,412,19048,3,1,4,5,6,2500,1,0,0,1,0,1,2,4,8,2000,0,1,1,0,0,2,,,,,,,,,,1,2,2,4,0,1,0,0,0,1,3,3,4,1,1,1,0,0,2,,,,,,,,
4,1,104,2,1020,19049,1,1,2,5,6,1500,0,0,0,1,0,1,2,20,8,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19049,2,1,2,6,8,1500,1,0,0,0,0,1,1,25,8,1000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
