"zone","state","lga","sector","ea","hhid","plotid","s11c2q10","s11c2q11a","s11c2q11b","s11c2q11_conv","s11c2q1","s11c2q2a","s11c2q2b","s11c2q2_conv","s11dq1a","s11c2q36_1","s11c2q36_2","s11c2q36_99","s11c2q36_os","s11c2q37a","s11c2q37b","s11c2q37a_conv","s11c2q38a","s11c2q38b","s11c2q38a_conv","s11c2q39a","s11c2q39b","s11c2q39a_conv","s11dq36","s11dq37a","s11dq37b","s11c2q37_conv","s11c2q19","s11c2q20","s11c2q21","s11c2q23","s11c2q25","s11c2q26","s11c2q27","s11c2q34"
4,1,109,2,1214,19087,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19087,3,2,,,,2,,,,1,0,1,0,,,,,1,10,10,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19088,1,1,1,3,1,1,1,3,1,1,1,1,0,,1,12,50,1,12,50,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19088,2,1,5,3,1,1,1,3,1,1,1,1,0,,3,12,50,2,12,50,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19089,1,2,,,,1,200,2,0.00100000004749745,1,0,1,0,,,,,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19089,2,2,,,,1,200,2,0.00100000004749745,1,0,1,0,,,,,2,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19089,3,2,,,,1,200,2,0.00100000004749745,1,0,1,0,,,,,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19091,1,2,,,,2,,,,1,1,1,0,,2,12,50,1,12,50,,,,2,,,,2,,,,,3,2,2
4,1,109,2,1214,19091,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,3
4,1,109,2,1214,19091,3,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19091,4,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19091,5,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19092,1,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19092,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19093,1,2,,,,2,,,,1,1,1,0,,1,12,50,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19093,2,2,,,,2,,,,1,1,1,0,,1,12,50,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19093,3,2,,,,2,,,,1,1,1,0,,1,12,50,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19093,4,2,,,,2,,,,1,1,1,0,,1,12,50,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19093,5,2,,,,2,,,,1,1,1,0,,1,12,50,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19094,1,2,,,,2,,,,1,1,0,0,,3,12,50,,,,,,,2,,,,2,,,,,2,2,2
4,1,109,2,1214,19094,3,2,,,,2,,,,1,1,0,0,,3,12,50,,,,,,,2,,,,2,,,,,2,2,2
