"zone","state","lga","sector","ea","hhid","plotid","indiv","sa2aq1b","sa2aq1c","sa2aq1d__1","sa2aq1d__2","sa2aq1d__3","sa2aq1d__4","sa2aq1d__5","sa2aq1d__6"
4,1,107,2,10,19072,1,2,21,4,0,0,1,0,1,1
4,1,107,2,10,19072,2,2,17,6,0,0,1,0,1,1
4,1,107,2,10,19072,3,2,10,3,0,0,1,0,1,0
4,1,107,2,10,19072,4,2,9,4,0,0,1,0,1,1
4,1,107,2,10,19072,5,2,8,3,0,0,1,0,1,1
4,1,107,2,10,19072,7,2,8,3,0,0,1,0,1,0
4,1,107,2,1322,19073,1,1,20,5,0,0,1,0,1,0
4,1,107,2,1322,19073,1,2,12,5,0,0,1,0,1,0
4,1,107,2,1322,19073,3,1,12,5,0,0,1,0,1,0
4,1,107,2,1322,19073,4,1,15,5,0,0,1,0,1,0
4,1,107,2,1322,19075,1,1,25,3,0,0,0,0,1,1
4,1,107,2,1322,19075,1,2,51,3,0,0,1,0,1,1
4,1,107,2,1322,19075,1,3,45,3,0,0,1,0,1,1
4,1,107,2,1322,19075,1,4,37,3,0,0,1,0,1,1
4,1,107,2,1322,19075,2,1,32,3,0,0,1,0,0,1
4,1,107,2,1322,19075,2,2,64,2,0,0,1,0,0,1
4,1,107,2,1322,19075,2,3,53,2,0,0,1,0,0,1
4,1,107,2,1322,19075,2,4,52,3,0,0,1,0,0,1
4,1,107,2,1322,19076,1,2,13,6,0,0,1,0,1,1
4,1,107,2,1322,19076,2,2,23,5,0,0,1,0,1,1
4,1,107,2,1322,19077,1,1,32,5,0,0,1,0,1,1
4,1,107,2,1322,19077,2,1,36,5,0,0,1,0,1,1
4,1,107,2,1322,19079,1,1,4,5,0,0,1,0,0,1
4,1,107,2,1322,19080,2,1,21,4,0,0,1,0,1,1
4,1,107,2,1322,19080,2,2,16,4,0,0,1,0,1,0
4,1,107,2,1322,19080,2,3,13,4,0,0,1,0,1,0
4,1,107,2,1322,19080,3,1,11,4,0,0,1,0,1,1
4,1,107,2,1322,19080,3,2,11,4,0,0,1,0,1,0
4,1,107,2,1322,19080,3,3,18,4,0,0,1,0,1,0
4,1,107,2,1322,19081,1,3,10,6,0,0,0,0,1,1
4,1,107,2,1322,19081,2,3,5,5,0,0,1,0,1,1
4,1,107,2,1322,19082,1,1,8,5,0,0,1,0,1,1
4,1,107,2,1322,19082,1,3,4,5,0,0,1,0,1,0
4,1,107,2,1322,19082,2,1,10,6,0,0,1,0,1,1
4,1,107,2,1322,19082,2,3,5,6,0,0,1,0,1,0
4,1,107,2,1322,19082,3,1,6,5,0,0,1,0,1,1
4,1,107,2,1322,19082,4,1,10,6,0,1,1,0,1,1
4,1,107,2,1322,19082,4,3,6,5,0,0,1,0,1,0
4,1,107,2,1322,19082,5,1,12,4,0,0,1,0,1,1
4,1,107,2,1322,19082,6,1,7,5,0,0,1,0,1,1
4,1,107,2,1322,19084,1,2,22,3,0,0,1,0,1,1
4,1,107,2,1322,19084,1,3,15,2,0,0,1,0,1,0
4,1,107,2,1322,19084,1,4,21,3,0,0,1,0,1,0
4,1,107,2,1322,19084,2,2,13,4,0,0,1,0,1,1
4,1,107,2,1322,19084,3,2,11,3,0,0,1,0,1,0
4,1,107,2,1322,19084,3,4,15,3,0,0,1,0,1,1
4,1,109,2,1214,19085,1,1,6,5,0,0,0,0,1,1
4,1,109,2,1214,19085,1,2,10,5,0,0,1,0,1,0
4,1,109,2,1214,19085,2,1,8,5,0,0,0,0,1,1
4,1,109,2,1214,19085,2,2,12,6,0,0,1,0,1,0
4,1,109,2,1214,19087,1,2,6,4,0,0,1,0,1,0
4,1,109,2,1214,19087,2,2,2,5,0,0,1,0,1,0
4,1,109,2,1214,19087,3,2,5,5,0,0,1,0,1,0
4,1,109,2,1214,19088,1,1,12,4,0,0,1,0,1,0
4,1,109,2,1214,19088,1,2,15,4,0,0,1,0,1,0
4,1,109,2,1214,19088,2,1,10,3,0,0,1,0,1,0
4,1,109,2,1214,19088,2,2,12,3,0,0,1,0,1,0
4,1,109,2,1214,19089,1,1,8,5,0,0,1,0,1,1
4,1,109,2,1214,19089,1,2,5,3,0,0,1,0,1,0
4,1,109,2,1214,19089,2,1,9,5,0,0,1,0,1,1
4,1,109,2,1214,19089,3,1,10,5,0,0,1,0,1,1
4,1,109,2,1214,19091,1,1,17,3,0,0,1,0,1,0
4,1,109,2,1214,19091,3,1,12,4,0,0,1,0,1,0
4,1,109,2,1214,19091,4,1,9,3,0,0,1,0,1,0
4,1,109,2,1214,19092,1,2,21,4,0,0,1,0,1,0
4,1,109,2,1214,19093,1,1,12,6,0,0,1,0,1,0
4,1,109,2,1214,19093,1,4,9,4,0,0,1,0,1,0
4,1,109,2,1214,19093,2,1,10,6,0,0,1,0,1,1
4,1,109,2,1214,19093,3,1,9,6,0,0,1,0,1,0
4,1,109,2,1214,19093,3,4,6,6,0,0,1,0,1,0
4,1,109,2,1214,19093,4,1,10,6,0,0,1,0,1,1
4,1,109,2,1214,19093,4,4,5,5,0,0,1,0,1,0
4,1,109,2,1214,19093,5,1,8,6,0,0,1,0,1,1
4,1,109,2,1214,19093,5,4,6,5,0,0,1,0,1,0
4,1,109,2,1214,19094,1,2,10,6,0,0,1,0,1,1
4,1,109,2,1214,19094,1,4,13,4,0,0,1,0,1,0
4,1,109,2,1214,19094,3,2,12,6,0,0,1,0,1,1
4,1,109,2,1214,19094,3,4,10,3,0,0,1,0,0,0
4,1,109,2,1214,19095,1,2,8,5,0,0,1,0,1,1
4,1,109,2,1214,19095,1,3,8,5,0,0,1,0,1,0
4,1,109,2,1214,19095,3,2,6,6,0,0,1,0,1,1
4,1,109,2,1214,19095,3,3,3,5,0,0,1,0,1,0
4,1,109,2,1214,19096,1,1,15,5,0,0,1,0,1,1
4,1,109,2,1214,19096,2,1,12,4,0,0,1,0,1,1
4,1,109,2,1214,19096,4,1,15,5,0,0,1,0,1,1
4,1,109,2,1792,19097,1,1,15,4,0,0,1,0,1,1
4,1,109,2,1792,19097,2,1,12,4,0,0,1,0,1,1
4,1,109,2,1792,19097,4,1,7,4,0,0,1,0,1,1
4,1,109,2,1792,19098,1,1,17,4,0,0,1,0,1,1
4,1,109,2,1792,19098,2,1,15,5,0,0,1,0,1,1
4,1,109,2,1792,19099,1,2,6,4,0,0,1,0,0,1
4,1,109,2,1792,19099,2,2,8,4,0,0,1,0,1,1
4,1,109,2,1792,19100,1,1,8,6,0,0,1,0,1,1
4,1,109,2,1792,19100,1,2,8,6,0,0,1,0,1,0
4,1,109,2,1792,19100,1,5,3,5,0,0,1,0,1,0
4,1,109,2,1792,19100,2,1,10,5,0,0,1,0,1,1
4,1,109,2,1792,19100,2,2,12,5,0,0,1,0,1,0
4,1,109,2,1792,19101,1,1,3,4,0,0,1,0,1,1
4,1,109,2,1792,19101,1,2,16,4,0,0,1,0,1,0
4,1,109,2,1792,19101,2,1,7,4,0,0,0,0,1,1
4,1,109,2,1792,19101,2,2,12,5,0,0,1,0,1,0
4,1,109,2,1792,19103,1,1,15,4,0,0,1,0,1,1
4,1,109,2,1792,19103,1,2,10,4,0,0,1,0,1,0
4,1,109,2,1792,19103,1,3,8,3,0,0,1,0,1,0
4,1,109,2,1792,19104,1,1,25,5,0,0,1,0,1,1
4,1,109,2,1792,19104,1,2,30,5,0,0,1,0,1,1
4,1,109,2,1792,19104,2,1,22,4,0,0,1,0,0,1
4,1,109,2,1792,19104,2,2,25,5,0,0,1,0,0,1
4,1,109,2,1792,19105,1,1,12,5,0,0,1,0,1,1
4,1,109,2,1792,19105,1,2,16,5,0,0,1,0,1,0
4,1,109,2,1792,19105,2,1,15,5,0,0,1,0,1,0
4,1,109,2,1792,19105,2,2,11,5,0,0,1,0,1,0
4,1,109,2,1792,19105,3,1,10,3,0,0,1,0,1,1
4,1,109,2,1792,19105,3,2,11,4,0,0,1,0,1,0
4,1,109,2,1792,19105,4,1,12,3,0,0,1,0,1,1
4,1,109,2,1792,19105,4,2,15,5,0,0,1,0,1,0
4,1,109,2,1792,19106,1,6,2,3,0,0,1,0,1,0
4,1,109,2,1792,19106,2,4,7,2,0,0,1,0,1,0
4,1,109,2,1792,19106,2,7,7,4,0,0,1,0,1,0
4,1,109,2,1792,19107,1,1,6,4,0,0,1,0,1,1
4,1,109,2,1792,19107,1,4,19,4,0,0,1,0,1,0
4,1,109,2,1996,19110,1,1,13,4,0,0,1,0,1,1
4,1,109,2,1996,19110,1,2,10,4,0,0,1,0,1,1
4,1,109,2,1996,19110,2,1,21,6,0,0,1,0,1,1
4,1,109,2,1996,19111,1,1,15,3,0,0,1,0,1,1
4,1,109,2,1996,19111,2,1,12,3,0,0,1,0,1,1
4,1,109,2,1996,19112,1,1,5,4,0,0,0,0,1,1
4,1,109,2,1996,19112,1,2,4,4,0,0,0,0,1,1
4,1,109,2,1996,19112,2,1,5,5,0,0,0,0,1,1
4,1,109,2,1996,19112,2,2,4,5,0,0,0,0,1,1
4,1,109,2,1996,19113,1,1,2,2,0,0,0,0,0,1
4,1,109,2,1996,19113,2,1,2,2,0,0,0,0,1,1
4,1,109,2,1996,19115,1,1,8,4,0,0,1,0,1,1
4,1,109,2,1996,19115,1,2,9,3,0,0,1,0,1,0
4,1,109,2,1996,19115,1,3,9,4,0,0,1,0,1,1
4,1,109,2,1996,19115,2,1,7,4,0,0,1,0,1,1
4,1,109,2,1996,19115,2,2,9,3,0,0,1,0,1,0
4,1,109,2,1996,19115,2,3,8,4,0,0,1,0,1,0
4,1,109,2,1996,19116,1,1,8,2,0,0,1,0,1,1
4,1,109,2,1996,19116,1,2,11,3,0,0,1,0,1,1
4,1,109,2,1996,19116,1,4,7,4,0,0,1,0,1,0
4,1,109,2,1996,19116,2,1,7,2,0,0,1,0,1,1
4,1,109,2,1996,19116,2,2,12,3,0,0,1,0,1,1
4,1,109,2,1996,19116,2,4,10,3,0,0,1,0,1,0
4,1,109,2,1996,19116,4,1,6,3,0,0,1,0,1,1
4,1,109,2,1996,19116,4,2,9,4,0,0,1,0,1,1
4,1,109,2,1996,19116,4,4,7,3,0,0,1,0,1,1
4,1,109,2,1996,19117,1,1,15,5,0,0,1,0,1,1
4,1,109,2,1996,19117,2,1,10,6,0,0,1,0,1,1
4,1,109,2,1996,19117,2,2,5,3,0,0,1,0,1,0
4,1,109,2,1996,19117,3,1,10,6,0,0,1,1,1,1
4,1,109,2,1996,19117,3,2,3,3,0,0,1,0,0,1
4,1,109,2,1996,19117,4,1,5,4,0,0,1,0,1,1
4,1,109,2,1996,19117,6,1,13,6,0,0,1,0,1,1
4,1,109,2,1996,19117,6,2,6,3,0,0,1,1,1,0
4,1,109,2,1996,19118,1,1,15,4,0,0,1,0,1,1
4,1,109,2,1996,19118,2,1,15,4,0,0,1,0,1,1
4,1,109,2,1996,19119,1,1,3,5,0,0,0,0,1,1
4,1,109,2,1996,19119,1,2,5,5,0,0,1,0,1,0
4,1,109,2,1996,19119,1,6,8,6,0,0,1,0,1,0
4,1,109,2,1996,19119,2,1,5,6,0,0,1,0,1,1
4,1,109,2,1996,19119,2,2,5,5,0,0,1,0,1,0
4,1,109,2,1996,19119,3,1,7,5,0,0,1,0,1,1
4,1,109,2,1996,19119,3,2,4,5,0,0,1,0,1,0
4,1,109,2,1996,19119,3,6,5,6,0,0,1,0,1,0
4,1,109,2,1996,19120,1,1,12,5,0,0,1,0,1,1
4,1,109,2,1996,19120,1,2,8,5,0,0,1,0,1,0
4,1,109,2,1996,19120,2,1,14,6,0,0,1,0,0,1
4,1,109,2,1996,19120,2,2,8,5,0,0,1,0,0,0
4,1,109,2,1996,19120,4,1,7,4,0,0,1,0,1,1
4,1,109,2,1996,19120,4,2,6,4,0,0,1,0,1,0
4,1,110,2,338,19121,1,1,4,6,0,0,1,0,1,0
4,1,110,2,338,19121,2,3,4,6,0,0,1,0,1,0
4,1,110,2,338,19122,1,1,8,8,0,0,1,0,1,0
4,1,110,2,338,19122,1,2,12,6,0,0,1,0,1,0
4,1,110,2,338,19122,2,2,15,6,0,0,1,0,1,0
4,1,110,2,338,19123,1,2,10,2,0,0,1,0,1,0
4,1,110,2,338,19123,1,4,10,3,0,0,1,0,1,0
4,1,110,2,338,19124,1,1,8,4,0,0,1,0,1,0
4,1,110,2,338,19124,1,2,8,5,0,0,1,0,1,0
4,1,110,2,338,19124,2,1,6,4,0,0,1,0,1,0
4,1,110,2,338,19124,2,2,6,4,0,0,1,0,1,0
4,1,110,2,338,19125,1,1,3,4,0,0,1,0,1,0
