"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iiiq7","sa3iiiq8a","sa3iiiq8b","sa3iiiq9","sa3iiiq10","sa3iiiq10_os","sa3iiiq11","sa3iiiq12a","sa3iiiq12b","sa3iiiq13a","sa3iiiq13c","sa3iiiq13c_os","sa3iiiq13d","sa3iiiq13b","sa3iiiq13_conv","sa3iiiq14"
1,7,715,2,780,70135,2,2170,1,11,2018,2,,,2,,,6,110,,1,,5.1399998664856,5400
1,7,715,2,780,70137,1,3020,1,1,2019,2,,,2,,,20,11,,,,,1600
1,7,715,2,780,70140,3,2170,1,6,2018,2,,,1,1,2019,72,110,,1,,5.1399998664856,56600
1,7,701,2,104,79007,1,2170,1,6,2018,2,,,2,,,120,100,,1,,1.05999994277954,40000
1,7,705,1,3834,79038,5,3170,2,,,,,,,,,,,,,,,
1,7,705,1,3834,79039,5,3170,1,11,2018,1,5,,1,12,2018,50,130,,12,,100,50000
1,7,716,2,458,79062,1,2170,1,10,2018,2,,,2,,,80,100,,1,,1.05999994277954,36000
1,7,716,2,458,79068,2,3180,1,8,2018,2,,,2,,,40,100,,1,,25,30000
5,9,901,2,0,90043,1,2170,2,,,,,,,,,,,,,,,
5,9,901,2,0,90043,1,3040,2,,,,,,,,,,,,,,,
5,9,901,2,0,90043,1,3180,2,,,,,,,,,,,,,,,
5,9,918,2,834,90092,3,3180,2,,,,,,,,,,,,,,,
5,9,905,2,2128,99003,1,3180,2,,,,,,,,,,,,,,,
5,9,905,2,2128,99003,2,3040,2,,,,,,,,,,,,,,,
5,9,910,2,370,99037,1,3040,1,9,2018,2,,,1,11,2018,3,130,,12,2,100,105000
5,9,910,2,370,99040,4,3040,1,9,2018,1,8,,1,10,2018,845,130,,10,2,25,140000
5,9,910,2,370,99041,1,2030,1,9,2018,2,,,1,1,2019,30,110,,1,,7.1399998664856,20000
5,9,910,2,370,99041,1,2170,1,9,2018,2,,,1,1,2019,17,110,,1,,5.1399998664856,10000
5,9,910,2,370,99043,2,3040,1,9,2018,1,5,,1,12,2018,18,130,,12,2,100,630000
5,9,910,2,370,99043,3,3180,1,9,2018,2,,,1,1,2019,250,100,,1,,25,100000
5,9,910,2,370,99043,5,2030,1,9,2018,2,,,2,,,15,110,,1,,7.1399998664856,4000
5,9,910,2,370,99043,5,2170,1,9,2018,2,,,2,,,12,110,,1,,5.1399998664856,15000
5,9,910,2,370,99043,5,3040,1,11,2018,1,5,,1,1,2019,12,130,,12,2,100,420000
5,9,910,2,370,99043,5,3190,1,11,2018,2,,,2,,,15,150,,2,,,150000
5,9,910,2,730,99051,2,2030,2,,,,,,,,,,,,,,,
5,9,910,2,730,99052,2,2030,1,1,2018,2,,,1,12,2018,30,110,,1,,7.1399998664856,9000
5,9,910,2,730,99052,2,2170,1,3,2018,2,,,1,12,2018,12,110,,1,,5.1399998664856,4800
5,9,910,2,730,99052,2,3040,1,10,2018,2,,,1,12,2018,7,130,,12,2,100,245000
5,9,910,2,730,99053,2,2030,1,9,2018,2,,,2,,,50,110,,1,,7.1399998664856,25000
5,9,910,2,730,99053,2,2170,1,9,2018,2,,,2,,,60,110,,2,,7.96500015258789,40000
